Identifier,Grade
"Participant 547590",9.75
"Participant 547630",5.5
"Participant 547600",9.75
"Participant 547597",9.25
"Participant 547615",8.75
"Participant 547629",9.45
"Participant 547622",7.75
"Participant 547592",9.25
"Participant 547609",9.65
"Participant 547632",9.15
"Participant 547610",4
"Participant 547608",5.75
"Participant 547612",9.65
"Participant 547604",9.25
"Participant 547595",9.75
"Participant 547620",9.75
"Participant 547621",8.75
"Participant 547601",
"Participant 547593",9.75
"Participant 547614",9.75
"Participant 547605",8.2
"Participant 547618",9.75
"Participant 547619",8.75
"Participant 547596",6.75
"Participant 547594",8.75
"Participant 547617",7.65
"Participant 547598",8.65
"Participant 547624",9.45
"Participant 547603",4.25
"Participant 547633",6.7
"Participant 547588",9.7
"Participant 547611",8.75
"Participant 547634",8.75
"Participant 547625",4.75
"Participant 547628",8.25
"Participant 547599",6.25
"Participant 547606",0
"Participant 547623",9.75
"Participant 547607",3.75
"Participant 547602",8.75
"Participant 547613",9.75
"Participant 547589",9.75
"Participant 547627",9.65
"Participant 547631",8.75
"Participant 547591",5.55
"Participant 547626",9.75
"Participant 547616",9.75
